name,nation,pos,age,mp,starts,min,gls,gls,ast,ast,pk,crdy,crdr,xg,xg,xag,xag,team
Tyrique George,eng ENG,FW,19-225,2,0,112.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,Chelsea
Andrey Santos,br BRA,MF,21-137,3,0,51.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.54,0.1,0.1,Chelsea
Alejandro Garnacho,ar ARG,FW,21-078,1,0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.66,Chelsea
Dario Essugo,pt POR,MF,20-187,0,0,,,,,,,,,,,,,Chelsea
Filip Jørgensen,dk DEN,GK,23-154,0,0,,,,,,,,,,,,,Chelsea
Gaga Slonina,us USA,GK,21-125,0,0,,,,,,,,,,,,,Chelsea
Kiernan Dewsbury-Hall,eng ENG,MF,27-011,4,4,360.0,1.0,0.25,1.0,0.25,0.0,3.0,0.0,0.1,0.03,1.6,0.39,Everton
James Garner,eng ENG,"DF,MF",24-188,4,4,360.0,1.0,0.25,0.0,0.0,0.0,1.0,0.0,0.2,0.04,0.7,0.17,Everton
Michael Keane,eng ENG,DF,32-249,4,4,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.14,0.1,0.03,Everton
Jake O'Brien,ie IRL,DF,24-125,4,4,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.08,0.0,0.01,Everton
Jordan Pickford,eng ENG,GK,31-194,4,4,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Everton
James Tarkowski,eng ENG,DF,32-302,4,4,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.1,0.1,0.02,Everton
Idrissa Gana Gueye,sn SEN,MF,35-356,4,4,345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.12,0.1,0.03,Everton
Iliman Ndiaye,sn SEN,FW,25-195,4,4,332.0,2.0,0.54,0.0,0.0,0.0,0.0,0.0,1.3,0.35,0.5,0.13,Everton
Jack Grealish,eng ENG,FW,30-007,4,3,286.0,0.0,0.0,4.0,1.26,0.0,1.0,0.0,0.4,0.13,2.0,0.62,Everton
Beto,gw GNB,FW,27-229,4,3,266.0,1.0,0.34,0.0,0.0,0.0,1.0,0.0,1.8,0.61,0.2,0.06,Everton
Tim Iroegbunam,eng ENG,MF,22-079,4,3,220.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.2,0.06,0.0,0.0,Everton
Carlos Alcaraz,ar ARG,"FW,MF",22-291,3,1,115.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.01,0.0,0.0,Everton
Thierno Barry,fr FRA,"FW,MF",22-331,4,1,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.42,0.0,0.0,Everton
Vitaliy Mykolenko,ua UKR,DF,26-111,1,1,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Everton
Merlin Röhl,de GER,MF,23-074,1,0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.26,Everton
Dwight McNeil,eng ENG,FW,25-299,1,0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.1,0.1,0.64,Everton
Harrison Armstrong,eng ENG,FW,18-241,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Everton
Séamus Coleman,ie IRL,FW,36-341,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Everton
Adam Aznou,ma MAR,DF,19-107,0,0,,,,,,,,,,,,,Everton
Elijah Campbell,eng ENG,DF,21-046,0,0,,,,,,,,,,,,,Everton
Youssef Chermiti,pt POR,FW,21-116,0,0,,,,,,,,,,,,,Everton
Tyler Dibling,eng ENG,MF,19-189,0,0,,,,,,,,,,,,,Everton
Tyler Onyango,eng ENG,MF,22-197,0,0,,,,,,,,,,,,,Everton
Nathan Patterson,sct SCO,DF,23-336,0,0,,,,,,,,,,,,,Everton
Mark Travers,ie IRL,GK,26-122,0,0,,,,,,,,,,,,,Everton
Harry Tyrer,eng ENG,GK,23-285,0,0,,,,,,,,,,,,,Everton
Trai Hume,nir NIR,DF,23-183,4,4,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.02,0.2,0.04,Sunderland
Reinildo Mandava,mz MOZ,DF,31-239,4,4,360.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Sunderland
Robin Roefs,nl NED,GK,22-243,4,4,360.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Sunderland
Granit Xhaka,ch SUI,MF,32-355,4,4,360.0,0.0,0.0,1.0,0.25,0.0,1.0,0.0,0.1,0.01,0.3,0.07,Sunderland
Noah Sadiki,cd COD,MF,20-274,4,4,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.01,0.1,0.03,Sunderland
Habib Diarra,sn SEN,MF,21-257,4,4,345.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6,0.15,0.0,0.01,Sunderland
Chemsdine Talbi,ma MAR,FW,20-131,4,4,305.0,0.0,0.0,1.0,0.3,0.0,0.0,0.0,0.5,0.15,0.1,0.04,Sunderland
Omar Alderete,py PAR,DF,28-265,4,3,308.0,0.0,0.0,1.0,0.29,0.0,0.0,0.0,0.1,0.03,0.0,0.01,Sunderland
Simon Adingra,ci CIV,FW,23-259,4,3,231.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.05,0.5,0.2,Sunderland
Eliezer Mayenda,es ESP,FW,20-132,3,3,201.0,1.0,0.45,0.0,0.0,0.0,0.0,0.0,0.4,0.18,0.3,0.11,Sunderland
Nordi Mukiele,fr FRA,DF,27-320,2,2,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.04,0.1,0.03,Sunderland
Daniel Ballard,nir NIR,DF,25-360,2,2,98.0,1.0,0.92,0.0,0.0,0.0,0.0,0.0,0.2,0.17,0.3,0.28,Sunderland
Wilson Isidor,fr FRA,FW,25-021,4,1,158.0,2.0,1.14,0.0,0.0,0.0,0.0,0.0,0.4,0.22,0.0,0.0,Sunderland
Jenson Seelt,nl NED,DF,22-117,2,1,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sunderland
Enzo Le Fée,fr FRA,"FW,MF",25-226,3,1,133.0,1.0,0.68,0.0,0.0,1.0,0.0,0.0,0.8,0.56,0.2,0.14,Sunderland
